URL: https://www.juicyorange.com | Score: 0.55,,
URL,Audit,Status
https://www.juicyorange.com/the-team/john-vaccaro,Document has a `<title>` element,Passed
https://www.juicyorange.com/the-team/john-vaccaro,`<html>` element has a `[lang]` attribute,Passed
https://www.juicyorange.com/the-team/john-vaccaro,`<html>` element has a valid value for its `[lang]` attribute,Passed
https://www.juicyorange.com/the-team/john-vaccaro,Image elements have `[alt]` attributes,Passed
https://www.juicyorange.com/the-team/john-vaccaro,Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).,Passed
https://www.juicyorange.com/the-team/john-vaccaro,"List items (`<li>`) are contained within `<ul>`, `<ol>` or `<menu>` parent elements",Passed
https://www.juicyorange.com/the-team/john-vaccaro,Buttons do not have an accessible name,Failed
https://www.juicyorange.com/the-team/john-vaccaro,Background and foreground colors do not have a sufficient contrast ratio.,Failed
https://www.juicyorange.com/the-team/john-vaccaro,Links do not have a discernible name,Failed
https://www.juicyorange.com/the-team/john-vaccaro,"`[user-scalable=""no""]` is used in the `<meta name=""viewport"">` element or the `[maximum-scale]` attribute is less than 5.",Failed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,"`[aria-hidden=""true""]` is not present on the document `<body>`",Passed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,Document has a `<title>` element,Passed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,`<html>` element has a `[lang]` attribute,Passed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,`<html>` element has a valid value for its `[lang]` attribute,Passed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,Image elements have `[alt]` attributes,Passed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).,Passed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,"List items (`<li>`) are contained within `<ul>`, `<ol>` or `<menu>` parent elements",Passed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,Buttons do not have an accessible name,Failed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,Background and foreground colors do not have a sufficient contrast ratio.,Failed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,Links do not have a discernible name,Failed
https://www.juicyorange.com/the-team/dilshod-temirkhodjaev,"`[user-scalable=""no""]` is used in the `<meta name=""viewport"">` element or the `[maximum-scale]` attribute is less than 5.",Failed
